
rp DSR, nn 20, random seed 9, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 10, Received: 5706 | Sent: 5980 | Dropped: 274, PLR: 4.581940%
rp DSDV, nn 20, random seed 10, Received: 1479 | Sent: 5980 | Dropped: 4501, PLR: 75.267559%
rp DSR, nn 20, random seed 10, Received: 5979 | Sent: 5980 | Dropped: 1, PLR: 0.016722%
rp AODV, nn 20, random seed 11, Received: 5743 | Sent: 5980 | Dropped: 237, PLR: 3.963211%
rp DSDV, nn 20, random seed 11, Received: 853 | Sent: 5980 | Dropped: 5127, PLR: 85.735786%
rp DSR, nn 20, random seed 11, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 12, Received: 5743 | Sent: 5980 | Dropped: 237, PLR: 3.963211%
rp DSDV, nn 20, random seed 12, Received: 772 | Sent: 5980 | Dropped: 5208, PLR: 87.090301%
rp DSR, nn 20, random seed 12, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 13, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp DSDV, nn 20, random seed 13, Received: 1924 | Sent: 5980 | Dropped: 4056, PLR: 67.826087%
rp DSR, nn 20, random seed 13, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 14, Received: 4895 | Sent: 5980 | Dropped: 1085, PLR: 18.143813%
rp DSDV, nn 20, random seed 14, Received: 1168 | Sent: 5980 | Dropped: 4812, PLR: 80.468227%
rp DSR, nn 20, random seed 14, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 15, Received: 5761 | Sent: 5980 | Dropped: 219, PLR: 3.662207%
rp DSDV, nn 20, random seed 15, Received: 1887 | Sent: 5980 | Dropped: 4093, PLR: 68.444816%
rp DSR, nn 20, random seed 15, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 16, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp DSDV, nn 20, random seed 16, Received: 1502 | Sent: 5980 | Dropped: 4478, PLR: 74.882943%
rp DSR, nn 20, random seed 16, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 17, Received: 5933 | Sent: 5980 | Dropped: 47, PLR: 0.785953%
rp DSDV, nn 20, random seed 17, Received: 993 | Sent: 5980 | Dropped: 4987, PLR: 83.394649%
rp DSR, nn 20, random seed 17, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 18, Received: 5653 | Sent: 5980 | Dropped: 327, PLR: 5.468227%
rp DSDV, nn 20, random seed 18, Received: 1717 | Sent: 5980 | Dropped: 4263, PLR: 71.287625%
rp DSR, nn 20, random seed 18, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
